Onglet source,Catégorie,Type,Nom officiel (EN),Prix,Dégâts,Portée,Rechargement,Bulk,Mains,Groupe,Traits,Niveau,Rareté,Livre,Source,Livre / source,Ensemble,Catégorie PF2e,Rareté / accès,Nature,Notes,Bonus CA,Dex max.,Pénalité tests,Pénalité vitesse,Force requise,Dureté,PV,Seuil de rupture (BT)
Armes standards,Simple,Mêlée,Club,0,1d6 B,,,1,1,Club,Thrown 10 ft.,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=2&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Dagger,2 sp,1d4 P,,,L,1,Knife,"Agile, finesse, thrown 10 ft., versatile S",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=3&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Gauntlet,2 sp,1d4 B,,,L,1,Brawling,"Agile, free-hand",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=4&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Light mace,4 sp,1d4 B,,,L,1,Club,"Agile, finesse, shove",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=5&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Longspear,5 sp,1d8 P,,,2,2,Spear,Reach,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=6&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Mace,1 gp,1d6 B,,,1,1,Club,Shove,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=7&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Morningstar,1 gp,1d6 B,,,1,1,Club,Versatile P,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=8&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Sickle,2 sp,1d4 S,,,L,1,Knife,"Agile, finesse, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=9&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Spear,1 sp,1d6 P,,,1,1,Spear,"Monk, thrown 20 ft.",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=10&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Spiked gauntlet,3 sp,1d4 P,,,L,1,Brawling,"Agile, free-hand",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=11&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Mêlée,Staff,0,1d4 B,,,1,1,Club,"Monk, two-hand d8",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=12&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Bastard sword,4 gp,1d8 S,,,1,1,Sword,Two-hand d12,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=15&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Battle axe,1 gp,1d8 S,,,1,1,Axe,Sweep,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=16&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Bo staff,2 sp,1d8 B,,,2,2,Club,"Monk, parry, reach, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=17&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Falchion,3 gp,1d10 S,,,2,2,Sword,"Forceful, sweep",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=18&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Flail,8 sp,1d6 B,,,1,1,Flail,"Disarm, sweep, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=19&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Glaive,1 gp,1d8 S,,,2,2,Polearm,"Deadly d8, forceful, reach",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=20&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Greataxe,2 gp,1d12 S,,,2,2,Axe,Sweep,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=21&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Greatclub,1 gp,1d10 B,,,2,2,Club,"Backswing, shove",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=22&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Greatpick,1 gp,1d10 P,,,2,2,Pick,Fatal d12,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=23&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Greatsword,2 gp,1d12 S,,,2,2,Sword,Versatile P,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=24&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Guisarme,2 gp,1d10 S,,,2,2,Polearm,"Reach, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=25&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Halberd,2 gp,1d10 P,,,2,2,Polearm,"Reach, versatile S",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=26&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Hatchet,4 sp,1d6 S,,,L,1,Axe,"Agile, sweep, thrown 10 ft.",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=27&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Lance,1 gp,1d8 P,,,2,2,Spear,"Deadly d8, jousting d6, reach",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=28&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Light hammer,3 sp,1d6 B,,,L,1,Hammer,"Agile, thrown 20 ft.",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=29&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Light pick,4 sp,1d4 P,,,L,1,Pick,"Agile, fatal d8",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=30&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Longsword,1 gp,1d8 S,,,1,1,Sword,Versatile P,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=31&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Main-gauche,5 sp,1d4 P,,,L,1,Knife,"Agile, disarm, finesse, parry, versatile S",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=32&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Maul,3 gp,1d12 B,,,2,2,Hammer,Shove,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=33&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Pick,7 sp,1d6 P,,,1,1,Pick,Fatal d10,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=34&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Ranseur,2 gp,1d10 P,,,2,2,Polearm,"Disarm, reach",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=35&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Rapier,2 gp,1d6 P,,,1,1,Sword,"Deadly d8, disarm, finesse",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=36&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Sap,1 sp,1d6 B,,,L,1,Club,"Agile, nonlethal",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=37&NoRedirect=1,,,,,,,,,,,,,,
