"Onglet source","Catégorie","Type","Nom officiel (EN)","Prix","Dégâts","Portée","Rechargement","Bulk","Mains","Groupe","Traits","Niveau","Rareté","Livre","Source","Livre / source","Ensemble","Catégorie PF2e","Rareté / accès","Nature","Notes","Bonus CA","Dex max.","Pénalité tests","Pénalité vitesse","Force requise","Dureté","PV","Seuil de rupture (BT)","Prix vérifié AoN","Prix vérifié (pc)","Fiche AoN vérifiée","Nom AoN retenu","Livre AoN","Édition retenue","Niveau AoN","Date vérification"
"Armes standards","Simple","Mêlée","Club","0","1d6 B","","","1","1","Club","Thrown 10 ft.","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=2&NoRedirect=1","","","","","","","","","","","","","","","","0","https://2e.aonprd.com/Weapons.aspx?ID=2&NoRedirect=1","Club","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Dagger","2 sp","1d4 P","","","L","1","Knife","Agile, finesse, thrown 10 ft., versatile S","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=3&NoRedirect=1","","","","","","","","","","","","","","","2 sp","20","https://2e.aonprd.com/Weapons.aspx?ID=3&NoRedirect=1","Dagger","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Gauntlet","2 sp","1d4 B","","","L","1","Brawling","Agile, free-hand","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=4&NoRedirect=1","","","","","","","","","","","","","","","2 sp","20","https://2e.aonprd.com/Weapons.aspx?ID=4&NoRedirect=1","Gauntlet","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Light mace","4 sp","1d4 B","","","L","1","Club","Agile, finesse, shove","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=5&NoRedirect=1","","","","","","","","","","","","","","","4 sp","40","https://2e.aonprd.com/Weapons.aspx?ID=5&NoRedirect=1","Light Mace","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Longspear","5 sp","1d8 P","","","2","2","Spear","Reach","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=6&NoRedirect=1","","","","","","","","","","","","","","","5 sp","50","https://2e.aonprd.com/Weapons.aspx?ID=6&NoRedirect=1","Longspear","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Mace","1 gp","1d6 B","","","1","1","Club","Shove","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=7&NoRedirect=1","","","","","","","","","","","","","","","1 gp","100","https://2e.aonprd.com/Weapons.aspx?ID=7&NoRedirect=1","Mace","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Morningstar","1 gp","1d6 B","","","1","1","Club","Versatile P","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=8&NoRedirect=1","","","","","","","","","","","","","","","1 gp","100","https://2e.aonprd.com/Weapons.aspx?ID=8&NoRedirect=1","Morningstar","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Sickle","2 sp","1d4 S","","","L","1","Knife","Agile, finesse, trip","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=9&NoRedirect=1","","","","","","","","","","","","","","","2 sp","20","https://2e.aonprd.com/Weapons.aspx?ID=9&NoRedirect=1","Sickle","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Spear","1 sp","1d6 P","","","1","1","Spear","Monk, thrown 20 ft.","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=10&NoRedirect=1","","","","","","","","","","","","","","","1 sp","10","https://2e.aonprd.com/Weapons.aspx?ID=10&NoRedirect=1","Spear","Core Rulebook pg. 280","legacy","0","2026-09-12"
"Armes standards","Simple","Mêlée","Spiked gauntlet","3 sp","1d4 P","","","L","1","Brawling","Agile, free-hand","0","Common","Player Core pp. 277–281","https://2e.aonprd.com/Weapons.aspx?ID=11&NoRedirect=1","","","","","","","","","","","","","","","3 sp","30","https://2e.aonprd.com/Weapons.aspx?ID=11&NoRedirect=1","Spiked Gauntlet","Core Rulebook pg. 280","legacy","0","2026-09-12"
