Nom,Type,Niveau,Rareté,Prix,Page AoN
Gecko Potion,Potion,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Healing Potion (Minor),Potion,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Minor Soldier's Syrup,Potion,1,Uncommon,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Emergency Escape,Potion,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Retaliation (Minor),Potion,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Shared Memories,Potion,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Ration Tonic,Potion,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Antivenom Potion,Potion,2,Common,6 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Draft of Stellar Radiance,Potion,3,Rare,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Lesser Soldier's Syrup,Potion,3,Uncommon,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Retaliation (Lesser),Potion,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Water Breathing,Potion,3,Common,11 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Bloodhammer Reserve,Potion,4,Uncommon,20 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Bottled Omen,Potion,4,Rare,20 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Invisibility Potion,Potion,4,Uncommon,20 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Oak Potion,Potion,4,Common,15 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Passing Fancy,Potion,4,Uncommon,20 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Shrinking Potion,Potion,4,Common,15 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
