"Nom","Type","Niveau","Rareté","Prix","Page AoN","Prix vérifié AoN","Prix vérifié (pc)","Fiche AoN vérifiée","Nom AoN retenu","Livre AoN","Édition retenue","Niveau AoN","Date vérification"
"Gecko Potion","Potion","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=714&NoRedirect=1","Gecko Potion","Advanced Player's Guide pg. 257","legacy","1","2026-09-12"
"Healing Potion (Minor)","Potion","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=186&NoRedirect=1","Healing Potion (Minor)","Core Rulebook pg. 563","legacy","1","2026-09-12"
"Minor Soldier's Syrup","Potion","1","Uncommon","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=4002&NoRedirect=1","Minor Soldier's Syrup","Pathfinder #218: Titanbane
 pg. 80","source_unique","1","2026-09-12"
"Potion of Emergency Escape","Potion","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=720&NoRedirect=1","Potion of Expeditious Retreat","Advanced Player's Guide pg. 258","legacy","1","2026-09-12"
"Potion of Retaliation (Minor)","Potion","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=721&NoRedirect=1","Potion of Retaliation (Minor)","Advanced Player's Guide pg. 259","legacy","1","2026-09-12"
"Potion of Shared Memories","Potion","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=722&NoRedirect=1","Potion of Shared Memories","Advanced Player's Guide pg. 259","legacy","1","2026-09-12"
"Ration Tonic","Potion","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=723&NoRedirect=1","Ration Tonic","Advanced Player's Guide pg. 259","legacy","1","2026-09-12"
"Antivenom Potion","Potion","2","Common","6 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","6 gp","600","https://2e.aonprd.com/Equipment.aspx?ID=902&NoRedirect=1","Antivenom Potion","Troubles in Otari pg. 60","source_unique","2","2026-09-12"
"Draft of Stellar Radiance","Potion","3","Rare","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=1823&NoRedirect=1","Draft of Stellar Radiance","Pathfinder #187: The Seventh Arch pg. 81","legacy","3","2026-09-12"
"Lesser Soldier's Syrup","Potion","3","Uncommon","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=4002&NoRedirect=1","Lesser Soldier's Syrup","Pathfinder #218: Titanbane
 pg. 80","source_unique","3","2026-09-12"
